==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-k8s-master3 ====
I1102 08:18:10.026011       1 controllermanager.go:109] Version: v1.8.1
I1102 09:13:05.436810       1 deployment_controller.go:151] Starting deployment controller
I1102 09:13:05.436829       1 controller_utils.go:1041] Waiting for caches to sync for deployment controller
I1102 09:13:05.489781       1 controllermanager.go:487] Started "replicaset"
I1102 09:13:05.489921       1 replica_set.go:156] Starting replica set controller
I1102 09:13:05.489942       1 controller_utils.go:1041] Waiting for caches to sync for replica set controller
I1102 09:13:05.549200       1 controllermanager.go:487] Started "ttl"
W1102 09:13:05.549225       1 core.go:135] configure-cloud-routes is set, but no cloud provider specified. Will not configure cloud provider routes.
W1102 09:13:05.549234       1 controllermanager.go:484] Skipping "route"
I1102 09:13:05.549348       1 ttl_controller.go:116] Starting TTL controller
I1102 09:13:05.549368       1 controller_utils.go:1041] Waiting for caches to sync for TTL controller
I1102 09:13:05.572639       1 controllermanager.go:487] Started "persistentvolume-binder"
W1102 09:13:05.572667       1 controllermanager.go:484] Skipping "persistentvolume-expander"
I1102 09:13:05.572784       1 pv_controller_base.go:259] Starting persistent volume controller
I1102 09:13:05.572809       1 controller_utils.go:1041] Waiting for caches to sync for persistent volume controller
I1102 09:13:05.596508       1 controllermanager.go:487] Started "podgc"
I1102 09:13:05.596669       1 gc_controller.go:76] Starting GC controller
I1102 09:13:05.596690       1 controller_utils.go:1041] Waiting for caches to sync for GC controller
I1102 09:13:06.437676       1 controllermanager.go:487] Started "garbagecollector"
I1102 09:13:06.437872       1 garbagecollector.go:136] Starting garbage collector controller
I1102 09:13:06.437889       1 controller_utils.go:1041] Waiting for caches to sync for garbage collector controller
I1102 09:13:06.437917       1 graph_builder.go:321] GraphBuilder running
I1102 09:13:06.559822       1 controllermanager.go:487] Started "cronjob"
I1102 09:13:06.559965       1 cronjob_controller.go:98] Starting CronJob Manager
I1102 09:13:06.651445       1 node_controller.go:249] Sending events to api server.
I1102 09:13:16.784712       1 range_allocator.go:70] Sending events to api server.
I1102 09:13:16.784781       1 range_allocator.go:85] No Service CIDR provided. Skipping filtering out service addresses.
I1102 09:13:16.784789       1 range_allocator.go:95] Node k8s-master1 has CIDR 10.244.0.0/24, occupying it in CIDR map
I1102 09:13:16.784807       1 range_allocator.go:95] Node k8s-master2 has CIDR 10.244.2.0/24, occupying it in CIDR map
I1102 09:13:16.784812       1 range_allocator.go:95] Node k8s-master3 has CIDR 10.244.1.0/24, occupying it in CIDR map
I1102 09:13:16.784816       1 range_allocator.go:95] Node k8s-worker1 has CIDR 10.244.4.0/24, occupying it in CIDR map
I1102 09:13:16.784820       1 range_allocator.go:95] Node k8s-worker2 has CIDR 10.244.3.0/24, occupying it in CIDR map
I1102 09:13:16.784939       1 taint_controller.go:158] Sending events to api server.
I1102 09:13:16.784989       1 controllermanager.go:487] Started "node"
I1102 09:13:16.785143       1 node_controller.go:516] Starting node controller
I1102 09:13:16.785161       1 controller_utils.go:1041] Waiting for caches to sync for node controller
I1102 09:13:16.794814       1 controllermanager.go:487] Started "endpoint"
I1102 09:13:16.794992       1 endpoints_controller.go:153] Starting endpoint controller
I1102 09:13:16.795015       1 controller_utils.go:1041] Waiting for caches to sync for endpoint controller
I1102 09:13:16.843058       1 controllermanager.go:487] Started "namespace"
I1102 09:13:16.843288       1 namespace_controller.go:186] Starting namespace controller
I1102 09:13:16.843299       1 controller_utils.go:1041] Waiting for caches to sync for namespace controller
I1102 09:13:16.858371       1 controllermanager.go:487] Started "daemonset"
I1102 09:13:16.858481       1 daemon_controller.go:230] Starting daemon sets controller
I1102 09:13:16.858508       1 controller_utils.go:1041] Waiting for caches to sync for daemon sets controller
I1102 09:13:16.938072       1 controllermanager.go:487] Started "horizontalpodautoscaling"
I1102 09:13:16.938244       1 horizontal.go:145] Starting HPA controller
I1102 09:13:16.938268       1 controller_utils.go:1041] Waiting for caches to sync for HPA controller
I1102 09:13:16.957167       1 controllermanager.go:487] Started "disruption"
I1102 09:13:16.957315       1 disruption.go:288] Starting disruption controller
I1102 09:13:16.957327       1 controller_utils.go:1041] Waiting for caches to sync for disruption controller
I1102 09:13:16.970029       1 controllermanager.go:487] Started "statefulset"
I1102 09:13:16.970152       1 stateful_set.go:146] Starting stateful set controller
I1102 09:13:16.970176       1 controller_utils.go:1041] Waiting for caches to sync for stateful set controller
