==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
I1103 03:52:24.573541       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:25.073548       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:25.573544       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:26.073561       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:26.573539       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:27.073585       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:27.573549       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:28.073545       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:28.573589       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:29.073914       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:29.573544       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:30.073546       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:30.573559       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:31.073574       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:31.573557       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:32.073529       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:32.573530       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:33.073531       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:33.573547       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:34.073601       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:34.573594       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:35.073536       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:35.573621       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:36.073521       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:36.573544       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:37.073564       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:37.573537       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:38.073525       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:38.573527       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:39.073531       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:39.573584       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:40.073482       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
F1103 03:52:40.573528       1 dns.go:168] Timeout waiting for initialization
==== END logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
==== START logs for container dnsmasq of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
I1103 03:46:35.003849       1 main.go:76] opts: {{/usr/sbin/dnsmasq [-k --cache-size=1000 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053] true} /etc/k8s/dns/dnsmasq-nanny 10000000000}
I1103 03:46:35.003989       1 nanny.go:86] Starting dnsmasq [-k --cache-size=1000 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053]
I1103 03:46:35.012989       1 nanny.go:111] 
W1103 03:46:35.013016       1 nanny.go:112] Got EOF from stdout
I1103 03:46:35.013038       1 nanny.go:108] dnsmasq[13]: started, version 2.78-security-prerelease cachesize 1000
I1103 03:46:35.013055       1 nanny.go:108] dnsmasq[13]: compile time options: IPv6 GNU-getopt no-DBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset auth no-DNSSEC loop-detect inotify
I1103 03:46:35.013059       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain ip6.arpa 
I1103 03:46:35.013063       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain in-addr.arpa 
I1103 03:46:35.013067       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain cluster.local 
I1103 03:46:35.013072       1 nanny.go:108] dnsmasq[13]: reading /etc/resolv.conf
I1103 03:46:35.013075       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain ip6.arpa 
I1103 03:46:35.013078       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain in-addr.arpa 
I1103 03:46:35.013082       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain cluster.local 
I1103 03:46:35.013087       1 nanny.go:108] dnsmasq[13]: using nameserver 168.95.1.1#53
I1103 03:46:35.013091       1 nanny.go:108] dnsmasq[13]: read /etc/hosts - 7 addresses
==== END logs for container dnsmasq of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
==== START logs for container sidecar of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
ERROR: logging before flag.Parse: I1103 02:59:15.483304       1 main.go:48] Version v1.14.4-2-g5584e04
ERROR: logging before flag.Parse: I1103 02:59:15.483348       1 server.go:45] Starting server (options {DnsMasqPort:53 DnsMasqAddr:127.0.0.1 DnsMasqPollIntervalMs:5000 Probes:[{Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1} {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}] PrometheusAddr:0.0.0.0 PrometheusPort:10054 PrometheusPath:/metrics PrometheusNamespace:kubedns})
